,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,category
12,Forever After All,Luke Combs,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,6IBcOGPsniK3Pso1wHIhew,spotify:track:6IBcOGPsniK3Pso1wHIhew,232533.0,11.0
13,Rapstar,Polo G,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,43PGPuHIlVOc04jrZVh9L6,spotify:track:43PGPuHIlVOc04jrZVh9L6,165926.0,1.0
14,Blinding Lights,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200040.0,12.0
15,Hats Off,"Lil Baby, Lil Durk & Travis Scott",0.596,0.65,9.0,-5.167,1.0,0.337,0.138,0.0,0.14,0.188,133.997,4lUmnwRybYH7mMzf16xB0y,spotify:track:4lUmnwRybYH7mMzf16xB0y,257428.0,5.0
16,Drivers License,Olivia Rodrigo,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,242013.0,10.0
17,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,3ODXZWBmy6THkPqN7beFIF,spotify:track:3ODXZWBmy6THkPqN7beFIF,227395.0,14.0
18,Traitor,Olivia Rodrigo,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,229227.0,16.0
19,Late At Night,Roddy Ricch,0.643,0.403,1.0,-11.254,0.0,0.41,0.343,0.0,0.138,0.111,98.54,1fxYz1s15pyZLsJT0Hdh1m,spotify:track:1fxYz1s15pyZLsJT0Hdh1m,174682.0,1.0
20,Voice Of The Heroes,Lil Baby & Lil Durk,0.754,0.66,0.0,-6.811,1.0,0.267,0.179,0.0,0.194,0.316,83.0,3E3pb3qH11iny6TFDJvsg5,spotify:track:3E3pb3qH11iny6TFDJvsg5,209299.0,1.0
21,Best Friend,Saweetie Featuring Doja Cat,0.84,0.766,4.0,-4.12,1.0,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,2etHQJxIbV0soyPhelVs9Y,spotify:track:2etHQJxIbV0soyPhelVs9Y,155884.0,11.0
22,Heartbreak Anniversary,Giveon,0.449,0.465,0.0,-8.964,1.0,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,198371.0,4.0
23,Heat Waves,Glass Animals,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,238805.0,13.0
24,Calling My Phone,Lil Tjay Featuring 6LACK,0.907,0.393,4.0,-7.636,0.0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,3J8EOeKLTLXORtWPpOU5bE,spotify:track:3J8EOeKLTLXORtWPpOU5bE,205458.0,0.0
25,Favorite Crime,Olivia Rodrigo,0.369,0.272,9.0,-10.497,1.0,0.0364,0.866,0.0,0.147,0.218,172.929,5JCoSi02qi3jJeHdZXMmR8,spotify:track:5JCoSi02qi3jJeHdZXMmR8,152667.0,10.0
26,Lost Cause,Billie Eilish,0.671,0.336,10.0,-8.494,0.0,0.241,0.705,0.00751,0.0577,0.518,75.051,2xdwCJLfKCkat14mlgR26M,spotify:track:2xdwCJLfKCkat14mlgR26M,212496.0,0.0
27,Happier,Olivia Rodrigo,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924,2tGvwE8GcFKwNdAXMnlbfl,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,175933.0,10.0
28,Up,Cardi B,0.868,0.795,11.0,-6.044,1.0,0.269,0.0012,0.0193,0.0461,0.819,166.0,1XXimziG1uhM0eDNCZCrUl,spotify:track:1XXimziG1uhM0eDNCZCrUl,156945.0,5.0
29,Mood,24kGoldn Featuring iann dior,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,4jPy3l0RUwlUI9T5XHBW2m,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,140533.0,6.0
30,2040,Lil Baby & Lil Durk,0.744,0.697,11.0,-4.067,1.0,0.136,0.0415,0.0,0.112,0.238,150.046,2ELp0EL65yitpfJYwc5983,spotify:track:2ELp0EL65yitpfJYwc5983,192921.0,13.0
31,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,0.477,0.727,2.0,-4.053,1.0,0.286,0.000866,0.0,0.108,0.227,150.062,1EJIcDYXwSqipW5dFe4uJz,spotify:track:1EJIcDYXwSqipW5dFe4uJz,236524.0,5.0
32,Telepatia,Kali Uchis,0.653,0.524,11.0,-9.016,0.0,0.0502,0.112,0.0,0.203,0.553,83.97,6tDDoYIxWvMLTdKpjFkc1B,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,160191.0,6.0
33,How It Feels,Lil Baby & Lil Durk,0.788,0.628,11.0,-5.746,0.0,0.12,0.00715,0.0,0.132,0.479,104.083,62nb5YUYUqtYJhVPwRhCke,spotify:track:62nb5YUYUqtYJhVPwRhCke,166911.0,6.0
34,Brutal,Olivia Rodrigo,0.672,0.526,4.0,-6.446,1.0,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,6SRsiMl7w1USE4mFqrOhHC,spotify:track:6SRsiMl7w1USE4mFqrOhHC,143747.0,11.0
35,Wockesha,Moneybagg Yo,0.582,0.537,0.0,-9.229,1.0,0.619,0.129,0.0,0.0749,0.771,82.103,0nqhKXDjsyBMvbeWmgijD0,spotify:track:0nqhKXDjsyBMvbeWmgijD0,180930.0,1.0
36,Wants And Needs,Drake Featuring Lil Baby,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,65OVbaJR5O1RmwOQx0875b,spotify:track:65OVbaJR5O1RmwOQx0875b,192956.0,5.0
37,Famous Friends,Chris Young + Kane Brown,0.533,0.855,6.0,-2.901,1.0,0.0356,0.0553,0.0,0.335,0.64,102.017,4iXDn9pu5Q9sxv45vE8Lak,spotify:track:4iXDn9pu5Q9sxv45vE8Lak,165569.0,14.0
38,pov,Ariana Grande,0.487,0.534,0.0,-5.664,0.0,0.0555,0.36,0.0,0.1,0.173,131.798,3UoULw70kMsiVXxW0L3A33,spotify:track:3UoULw70kMsiVXxW0L3A33,201882.0,0.0
39,Gone,Dierks Bentley,0.521,0.746,6.0,-6.173,1.0,0.0351,0.00985,0.0,0.0741,0.473,149.977,7IhfjcaXuXCq20ZiAA7igK,spotify:track:7IhfjcaXuXCq20ZiAA7igK,205960.0,12.0
40,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,0.853,0.426,1.0,-6.812,1.0,0.374,0.0765,0.0,0.104,0.201,160.051,6toQdWWc4noiOk3Eo5mVDS,spotify:track:6toQdWWc4noiOk3Eo5mVDS,200424.0,5.0
41,My Ex's Best Friend,Machine Gun Kelly X blackbear,0.731,0.675,5.0,-5.134,0.0,0.0434,0.00473,0.0,0.141,0.298,124.939,7kDUspsoYfLkWnZR7qwHZl,spotify:track:7kDUspsoYfLkWnZR7qwHZl,139461.0,2.0
42,Still Runnin,"Lil Baby, Lil Durk & Meek Mill",0.856,0.727,2.0,-5.616,1.0,0.277,0.013,0.0,0.117,0.286,146.044,5cAN3P7jWVf78gev1eF7TJ,spotify:track:5cAN3P7jWVf78gev1eF7TJ,173419.0,5.0
43,Track Star,Mooski,0.641,0.598,7.0,-5.7,0.0,0.324,0.381,0.0,0.0921,0.285,131.459,5hChuUMe5iHfjkXgzj1D4b,spotify:track:5hChuUMe5iHfjkXgzj1D4b,199706.0,5.0
44,What You Know Bout Love,Pop Smoke,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,160000.0,1.0
45,Who I Want,Lil Baby & Lil Durk,0.77,0.561,10.0,-4.97,0.0,0.083,0.14,0.0,0.123,0.81,145.928,3vJKLsUYcC7mARUTOMUPaJ,spotify:track:3vJKLsUYcC7mARUTOMUPaJ,173208.0,6.0
46,my.life,"J. Cole, 21 Savage & Morray",0.741,0.647,2.0,-12.878,1.0,0.0427,0.108,0.00139,0.0555,0.804,131.097,4ZoBC5MhSEzuknIgAkBaoT,spotify:track:4ZoBC5MhSEzuknIgAkBaoT,284000.0,8.0
47,Back In Blood,Pooh Shiesty Featuring Lil Durk,0.759,0.538,8.0,-8.256,0.0,0.384,0.151,0.0,0.126,0.831,146.933,7JuHVG3qQKQKxC4doneXVW,spotify:track:7JuHVG3qQKQKxC4doneXVW,184490.0,5.0
48,Time Today,Moneybagg Yo,0.912,0.608,1.0,-7.686,1.0,0.397,0.0458,0.0,0.248,0.327,136.994,0YrKSfpvflYnLSBd4Jtu6J,spotify:track:0YrKSfpvflYnLSBd4Jtu6J,136900.0,5.0
49,Lil Bit,Nelly & Florida Georgia Line,0.707,0.689,4.0,-7.097,0.0,0.0387,0.0255,0.0,0.383,0.41,119.987,0NmuYnjETG3u3qx0OmEJev,spotify:track:0NmuYnjETG3u3qx0OmEJev,195962.0,15.0
50,Blame It On You,Jason Aldean,0.484,0.783,2.0,-5.334,1.0,0.0308,0.0957,0.000118,0.107,0.594,137.918,2CwG4BXIlGmmYLDmDvwMTH,spotify:track:2CwG4BXIlGmmYLDmDvwMTH,215360.0,12.0
51,Nobody,Dylan Scott,0.398,0.716,0.0,-5.254,1.0,0.0392,0.0764,0.0,0.0848,0.494,117.295,6bTn1ovliI0OkjUNkiMBJq,spotify:track:6bTn1ovliI0OkjUNkiMBJq,193429.0,11.0
52,Todo de Ti,Rauw Alejandro,0.808,0.626,3.0,-4.577,0.0,0.0353,0.397,0.00584,0.102,0.569,127.955,4fSIb4hdOQ151TILNsSEaF,spotify:track:4fSIb4hdOQ151TILNsSEaF,202771.0,15.0
