,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
200,0.379,0.251,0,-15.488,1,0.0991,0.986,0.0122,0.094,0.335,73.316,1
201,0.231,0.133,2,-20.274,1,0.0437,0.963,0.659,0.135,0.0564,122.239,3
202,0.411,0.0487,10,-25.68,1,0.0383,0.985,0.918,0.0944,0.101,128.859,3
203,0.206,0.284,5,-16.033,1,0.0393,0.856,0.782,0.57,0.0872,133.603,3
204,0.093,0.0249,4,-20.74,0,0.0463,0.513,0.805,0.0831,0.0365,79.369,3
205,0.176,0.132,1,-16.932,1,0.0408,0.953,0.586,0.0886,0.0835,74.287,3
206,0.366,0.0433,4,-30.56,1,0.0416,0.99,0.903,0.085,0.356,88.452,3
207,0.0989,0.0176,1,-30.951,1,0.042,0.978,0.651,0.0763,0.0351,89.327,3
208,0.204,0.0305,2,-31.159,1,0.0462,0.965,0.268,0.111,0.0394,114.214,3
209,0.132,0.195,5,-16.485,1,0.0451,0.558,0.406,0.108,0.0492,163.425,3
210,0.251,0.0657,4,-20.757,0,0.0449,0.66,0.845,0.114,0.15,133.095,3
211,0.278,0.151,4,-19.607,0,0.042,0.917,0.122,0.273,0.167,99.212,1
212,0.099,0.0567,1,-20.712,1,0.0398,0.96,0.81,0.104,0.0456,82.744,3
213,0.156,0.00709,7,-34.153,0,0.0382,0.941,0.799,0.0986,0.041,97.925,3
214,0.0987,0.0949,1,-21.002,1,0.0441,0.993,0.353,0.0847,0.0363,174.606,3
215,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,3
216,0.302,0.0355,0,-24.074,1,0.0363,0.932,0.304,0.043,0.186,115.104,3
217,0.381,0.263,10,-13.643,1,0.0345,0.972,0.752,0.275,0.381,139.469,3
218,0.203,0.0641,5,-27.51,1,0.0529,0.972,0.94,0.101,0.0978,73.105,3
219,0.11,0.0291,0,-20.525,1,0.0411,0.97,0.746,0.134,0.0297,75.137,3
220,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,3
221,0.201,0.0113,8,-37.468,1,0.0447,0.971,0.000853,0.0678,0.0387,128.673,3
222,0.384,0.0414,11,-23.019,0,0.0378,0.992,0.897,0.0684,0.0618,71.224,3
223,0.23,0.2,10,-18.457,1,0.0404,0.931,0.934,0.0855,0.185,103.923,3
224,0.625,0.351,10,-15.884,1,0.0423,0.878,0.938,0.0569,0.794,116.961,0
225,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,3
226,0.262,0.107,4,-17.973,1,0.0448,0.959,0.463,0.195,0.136,76.65,3
227,0.356,0.207,10,-17.76,1,0.0388,0.95,0.914,0.0802,0.328,146.755,3
228,0.219,0.154,11,-18.17,0,0.0389,0.841,0.855,0.164,0.108,123.625,3
229,0.235,0.166,5,-19.632,1,0.0347,0.992,0.87,0.101,0.0356,101.182,3
230,0.37,0.286,5,-16.0,1,0.229,0.868,5.68e-05,0.32,0.187,70.985,1
231,0.0854,0.0411,11,-27.974,0,0.0427,0.948,0.768,0.0802,0.0526,74.814,3
232,0.461,0.175,2,-17.217,1,0.037,0.848,0.762,0.0985,0.358,73.559,3
233,0.38,0.254,2,-24.967,1,0.0365,0.992,0.926,0.117,0.805,101.1,3
234,0.164,0.0185,3,-30.778,0,0.0412,0.988,0.888,0.0801,0.078,86.65,3
235,0.441,0.176,7,-15.719,0,0.0376,0.989,0.888,0.108,0.325,79.599,3
236,0.477,0.405,2,-11.441,1,0.0294,0.958,0.226,0.269,0.492,112.235,1
237,0.39,0.0462,0,-24.885,1,0.0429,0.976,0.624,0.0893,0.305,79.268,3
238,0.453,0.00715,5,-33.859,1,0.0709,0.995,0.931,0.0647,0.257,135.407,3
239,0.405,0.318,9,-17.14,1,0.0565,0.938,0.723,0.284,0.342,151.434,3
240,0.29,0.0662,7,-22.708,1,0.0434,0.847,3.89e-06,0.159,0.0726,143.825,1
241,0.441,0.319,3,-13.99,1,0.0392,0.829,0.0,0.0765,0.671,99.419,1
242,0.0874,0.0474,4,-23.13,0,0.0532,0.924,0.768,0.149,0.0331,72.393,3
243,0.59,0.00399,7,-36.497,1,0.242,0.996,0.946,0.0683,0.182,74.381,3
244,0.102,0.0259,8,-30.196,0,0.0444,0.964,0.864,0.0972,0.0319,90.128,3
245,0.146,0.154,5,-16.92,1,0.0449,0.808,0.648,0.124,0.0383,143.625,3
246,0.159,0.0401,7,-27.516,1,0.0446,0.984,0.76,0.156,0.106,106.239,3
247,0.191,0.0946,10,-25.59,1,0.0365,0.99,0.933,0.101,0.348,110.502,3
248,0.0992,0.226,9,-14.84,0,0.0339,0.937,0.903,0.183,0.0605,79.518,3
249,0.0781,0.0462,0,-23.246,0,0.0365,0.559,0.863,0.188,0.0343,81.291,3
250,0.0704,0.0657,8,-19.466,1,0.0387,0.948,0.874,0.108,0.0361,61.017,3
251,0.36,0.196,6,-13.706,1,0.037,0.961,6.05e-06,0.0911,0.401,118.233,1
252,0.173,0.182,3,-18.848,1,0.0437,0.886,0.894,0.224,0.0781,70.831,3
253,0.202,0.194,5,-21.568,1,0.0578,0.953,0.647,0.0704,0.115,85.882,3
254,0.354,0.0179,1,-24.846,1,0.0385,0.982,0.906,0.0831,0.0381,61.202,3
255,0.11,0.128,2,-21.281,1,0.0458,0.979,0.871,0.368,0.0398,81.059,3
256,0.221,0.0879,7,-16.996,1,0.0381,0.155,0.698,0.0869,0.0401,126.622,3
257,0.24,0.0834,6,-29.545,0,0.0499,0.978,0.944,0.0804,0.188,169.621,3
258,0.513,0.273,9,-9.454,1,0.0368,0.966,2.79e-06,0.12,0.263,106.304,1
259,0.129,0.00212,7,-43.738,0,0.0417,0.866,0.662,0.082,0.039,99.253,3
260,0.194,0.101,11,-21.772,1,0.048,0.931,0.714,0.221,0.074,91.74,3
261,0.442,0.116,4,-23.172,0,0.0412,0.977,0.868,0.0862,0.511,151.064,3
262,0.106,0.227,3,-15.286,1,0.0462,0.877,0.738,0.112,0.0391,59.94,3
263,0.291,0.0981,8,-23.156,1,0.0398,0.95,0.865,0.275,0.194,138.168,3
264,0.548,0.208,1,-21.278,1,0.0421,0.764,0.22,0.0929,0.79,144.352,1
265,0.619,0.342,2,-11.429,1,0.0349,0.466,0.0902,0.152,0.373,67.006,1
266,0.242,0.0221,1,-25.909,1,0.0421,0.992,5.17e-05,0.0816,0.0776,80.39,3
267,0.123,0.225,4,-16.798,1,0.0351,0.73,0.509,0.0658,0.055,78.132,3
268,0.237,0.0606,7,-22.569,1,0.0374,0.91,0.939,0.131,0.256,136.284,3
269,0.514,0.0772,11,-21.076,1,0.0352,0.981,0.00306,0.0859,0.511,87.514,1
270,0.375,0.121,0,-23.44,1,0.0406,0.984,0.871,0.0984,0.453,147.398,3
271,0.0667,0.047,9,-25.426,1,0.0425,0.928,0.9,0.0652,0.0281,75.446,3
272,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,2
273,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,6
274,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,8
275,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4
276,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
277,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,7
278,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,8
279,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,2
280,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
281,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,8
282,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,7
283,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,7
284,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,6
285,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,8
286,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,7
287,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,2
288,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,2
289,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,8
290,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,2
291,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,2
292,0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,4
